                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3088,                 4.8296,                 2.0873,                0.77999,                0.03155,                0.02719,                0.02039,                 2.2334,                 4.9748,                 2.1271,               0.070309,               0.003299,               0.003299
                      1,                 1.8798,                 3.2909,                 1.7993,                0.36378,                 0.0831,                0.03298,                0.02349,                 2.2946,                 3.9881,                 2.1159,               0.040287,              0.0066104,              0.0066104
                      2,                 1.8255,                 2.9934,                  1.673,                0.43507,                0.10073,                0.02878,                0.02237,                 2.4262,                 6.1028,                  2.121,               0.010244,              0.0098999,              0.0098999
                      3,                 1.8345,                 2.8744,                 1.6843,                0.33274,                0.10614,                0.06846,                0.04704,                 2.1516,                  3.877,                 2.0767,               0.009901,               0.009901,               0.009901
                      4,                 1.7914,                 2.7611,                 1.6456,                0.17833,                0.15556,                 0.0775,                0.05624,                 2.1269,                 4.5677,                  1.953,               0.009901,               0.009901,               0.009901
                      5,                 1.7941,                  2.702,                 1.6305,                0.29104,                0.19112,                0.09871,                0.06441,                 1.9304,                 3.8081,                 1.8235,               0.009868,               0.009868,               0.009868
                      6,                 1.7244,                 2.6091,                 1.6009,                0.35968,                0.09649,                0.05677,                0.04206,                 2.3094,                 4.5967,                 2.2024,               0.009835,               0.009835,               0.009835
                      7,                 1.7385,                  2.586,                 1.6118,                0.50368,                0.15475,                0.11295,                  0.068,                 2.0199,                 4.0062,                 1.8616,               0.009802,               0.009802,               0.009802
                      8,                 1.7126,                 2.5263,                 1.5985,                0.27817,                 0.1395,                0.09388,                0.06841,                 2.1545,                 3.6452,                 1.9696,               0.009769,               0.009769,               0.009769
                      9,                 1.6953,                 2.4876,                 1.5835,                0.42698,                0.14209,                0.11391,                0.07957,                 1.9511,                 3.4152,                 1.8187,               0.009736,               0.009736,               0.009736
                     10,                 1.7108,                 2.4952,                 1.5885,                 0.1897,                0.17483,                0.07582,                0.04573,                 2.0484,                 3.9497,                 1.8924,               0.009703,               0.009703,               0.009703
                     11,                 1.7007,                 2.4696,                 1.5644,                0.26286,                0.17039,                0.11732,                0.08232,                 1.9073,                 3.8409,                 1.7501,                0.00967,                0.00967,                0.00967
                     12,                 1.6753,                 2.4489,                  1.565,                 0.1522,                0.23493,                0.12482,                0.08514,                 1.8758,                 3.7833,                 1.7476,               0.009637,               0.009637,               0.009637
                     13,                 1.6671,                 2.4089,                 1.5626,                0.15389,                0.16006,                0.08289,                0.05818,                 2.0461,                 3.4782,                 1.7985,               0.009604,               0.009604,               0.009604
                     14,                 1.6464,                 2.3611,                 1.5557,                0.43186,                0.15341,                0.11703,                0.08475,                 1.9667,                 3.2129,                 1.8794,               0.009571,               0.009571,               0.009571
                     15,                 1.6622,                 2.3737,                 1.5502,                0.19213,                0.24187,                0.14787,                0.09784,                 1.8977,                 3.0844,                 1.6975,               0.009538,               0.009538,               0.009538
                     16,                 1.6238,                  2.334,                 1.5167,                0.20235,                0.23753,                0.13284,                0.08068,                 1.8382,                  2.986,                 1.6727,               0.009505,               0.009505,               0.009505
